TermTitle,TermDefinition,ReportTitle
Census Student Credit Hour,"Census Student Credit Hour (SCH) for a fixed enrollment section is enrollment multiplied by the number of credits for a given course section on census day (formerly known as 10th Day). For a variable enrollment section, the SCH is a sum of the credits each enrolled student has selected.",Time Schedule Information
Basic Skills,Basic Skills refer to a subset of courses that fall under the General Education Requirements for undergraduate students.,Time Schedule Information
Undergraduate General Education Requirements,"<p>In order to earn a&nbsp;bachelor's degree - regardless of major -&nbsp;a student must earn a certain number of credits in courses falling into several areas of concentration (e.g.&nbsp;English composition). These are referred to as the Undergraduate General Education Requirements. For the most current list of Undergraduate General Education Requirements,&nbsp;refer to&nbsp;the&nbsp;<span style=""color: #0072bc;""><a href=""http://www.washington.edu/uaa/advising/degreeplanning/oasudr.php"" target=""_blank"">Overview of Requirements for an Undergraduate Degree</a>.</span></p>",Time Schedule Information
Areas of Knowledge,Areas of Knowledge are categories of courses as part of a student's undergraduate general education requirements. They are designed to provide breadth to a student's education and expand a student's intellectual framework.,Time Schedule Information
Online Learning,Online Learning is instruction that is conducted through Web-based or other online means. The State of Washington requires the University to report online learning in its annual PCHEES submission.,Time Schedule Information
Distance Learning,"Method of&nbsp;non-traditional&nbsp;instructional delivery, where&nbsp;""traditional"" refers to&nbsp;an interaction between an instructor and a student in the same physical space at the same time&nbsp;(i.e. in a classroom). Example: courses delivered over the Internet.",Time Schedule Information
Joint Course Loop,"A joint course loop is a set of sections or courses that are all offered jointly together. Joint course loops occur in both the curriculum data and in the Time Schedule. In the Time Schedule, joint course loops can consist of curricular joints, 'withers', or a combination of the two.",Time Schedule Information
Enrolled Student,"A student is considered enrolled if that student is a Registered Student on a particular day of reference. The most common day of reference is Academic Census Day, though first day of quarter, end of quarter and end of academic year may also be used.",Time Schedule Information
Enrollment Status,Enrollment Status denotes a student's most recent relationship to registration for a given quarter in which the student has had course registration within that quarter.,Time Schedule Information
Student Credit Hours,"<p>For enrollment purposes, Student Credit Hours represents the sum of Academic Credits associated with students' active course registrations (see Student Course Registration).</p>",Time Schedule Information
Unmet Course Section Request,"<p>Unmet Course Section Request indicates that a student was denied registration entry into the course section due to space availability and was not ever able to add that section or any other section of the same course (yr, qtr, branch, abbr, course no).</p>",Time Schedule Information
Joint Course Current Enrollment,Joint Course Current Enrollment is the combined total sum of enrollments (time_schedule.current_enroll) for all sections in a joint section loop when it has a joint course limit.,Time Schedule Information
Grading System,"The methodology used for determining and recording a student's completion or achievement level in a course. Each Grading System may have its own set of Grades to signify different accomplishment or completion levels. The combination of the Grading System and the Grade determines whether or not a student receives Academic Credit for a course. In the case of the Audit Grading System, there is no Grade given and it never awards Academic Credit even after successful completion of the course.",Time Schedule Information
Academic Credit,<p>Academic Credit is a basic measure of progress toward the completion of an academic program. It is assigned to a course by an academic department and approved by the University.&nbsp,Time Schedule Information
Schedule Line Number,This number uniquely identifies each Course Section in the Time Schedule for a given Academic Quarter.,Time Schedule Information
Course Section,"Course instruction is provided&nbsp;in Course Sections. Students who wish to&nbsp;enroll in&nbsp;a given Course do so by registering for a Course Section displayed in the time schedule. Course Sections are identified by a distinct combination of year, quarter, curriculum code, course number, and section id. Note that not all Course Sections represent unique physical instantiations of instruction. See the definition of Joint Course Section for further details.",Time Schedule Information
